title,authors,abstract,arxiv_id,category,date,pdf_url,query_used
Quantum-Classical Physics-Informed Neural Networks for Solving Reservoir Seepage Equations,"['Xiang Rao', 'Yina Liu', 'Yuxuan Shen']","Solving partial differential equations (PDEs) for reservoir seepage is critical for optimizing oil and gas field development and predicting production performance. Traditional numerical methods suffer from mesh-dependent errors and high computational costs, while classical Physics-Informed Neural Networks (PINNs) face bottlenecks in parameter efficiency, high-dimensional expression, and strong nonlinear fitting. To address these limitations, we propose a Discrete Variable (DV)-Circuit Quantum-Classical Physics-Informed Neural Network (QCPINN) and apply it to three typical reservoir seepage models for the first time: the pressure diffusion equation for heterogeneous single-phase flow, the nonlinear Buckley-Leverett (BL) equation for two-phase waterflooding, and the convection-diffusion equation for compositional flow considering adsorption. The QCPINN integrates classical preprocessing/postprocessing networks with a DV quantum core, leveraging quantum superposition and entanglement to enhance high-dimensional feature mapping while embedding physical constraints to ensure solution consistency. We test three quantum circuit topologies (Cascade, Cross-mesh, Alternate) and demonstrate through numerical experiments that QCPINNs achieve high prediction accuracy with fewer parameters than classical PINNs. Specifically, the Alternate topology outperforms others in heterogeneous single-phase flow and two-phase BL equation simulations, while the Cascade topology excels in compositional flow with convection-dispersion-adsorption coupling. Our work verifies the feasibility of QCPINN for reservoir engineering applications, bridging the gap between quantum computing research and industrial practice in oil and gas engineering.",2512.03923v1,cs.LG,2025-12-03 16:14:16+00:00,https://arxiv.org/pdf/2512.03923v1,"""quantum neural network"" AND ""partial differential equation"""
Quantum Orthogonal Separable Physics-Informed Neural Networks,"['Pietro Zanotta', 'Ljubomir Budinski', 'Caglar Aytekin', 'Valtteri Lahtinen']","This paper introduces Quantum Orthogonal Separable Physics-Informed Neural Networks (QO-SPINNs), a novel architecture for solving Partial Differential Equations, integrating quantum computing principles to address the computational bottlenecks of classical methods. We leverage a quantum algorithm for accelerating matrix multiplication within each layer, achieving a $\mathcal O(d\log d/ε^2)$ complexity, a significant improvement over the classical $\mathcal O(d^2)$ complexity, where $d$ is the dimension of the matrix, $ε$ the accuracy level. This is accomplished by using a Hamming weight-preserving quantum circuit and a unary basis for data encoding, with a comprehensive theoretical analysis of the overall architecture provided. We demonstrate the practical utility of our model by applying it to solve both forward and inverse PDE problems. Furthermore, we exploit the inherent orthogonality of our quantum circuits (which guarantees a spectral norm of 1) to develop a novel uncertainty quantification method. Our approach adapts the Spectral Normalized Gaussian Process for SPINNs, eliminating the need for the computationally expensive spectral normalization step. By using a Quantum Orthogonal SPINN architecture based on stacking, we provide a robust and efficient framework for uncertainty quantification (UQ) which, to our knowledge, is the first UQ method specifically designed for Separable PINNs. Numerical results based on classical simulation of the quantum circuits, are presented to validate the theoretical claims and demonstrate the efficacy of the proposed method.",2511.12613v1,quant-ph,2025-11-16 14:15:19+00:00,https://arxiv.org/pdf/2511.12613v1,"""quantum neural network"" AND ""partial differential equation"""
APRIL: Auxiliary Physically-Redundant Information in Loss - A physics-informed framework for parameter estimation with a gravitational-wave case study,"['Matteo Scialpi', 'Francesco Di Clemente', 'Leigh Smith', 'Michał Bejger']","Physics-Informed Neural Networks (PINNs) embed the partial differential equations (PDEs) governing the system under study directly into the training of Neural Networks, ensuring solutions that respect physical laws. While effective for single-system problems, standard PINNs scale poorly to datasets containing many realizations of the same underlying physics with varying parameters. To address this limitation, we present a complementary approach by including auxiliary physically-redundant information in loss (APRIL), i.e. augment the standard supervised output-target loss with auxiliary terms which exploit exact physical redundancy relations among outputs. We mathematically demonstrate that these terms preserve the true physical minimum while reshaping the loss landscape, improving convergence toward physically consistent solutions. As a proof-of-concept, we benchmark APRIL on a fully-connected neural network for gravitational wave (GW) parameter estimation (PE). We use simulated, noise-free compact binary coalescence (CBC) signals, focusing on inspiral-frequency waveforms to recover the chirp mass $\mathcal{M}$, the total mass $M_\mathrm{tot}$, and symmetric mass ratio $η$ of the binary. In this controlled setting, we show that APRIL achieves up to an order-of-magnitude improvement in test accuracy, especially for parameters that are otherwise difficult to learn. This method provides physically consistent learning for large multi-system datasets and is well suited for future GW analyses involving realistic noise and broader parameter ranges.",2510.13677v1,gr-qc,2025-10-15 15:34:19+00:00,https://arxiv.org/pdf/2510.13677v1,"""quantum neural network"" AND ""partial differential equation"""
"Neural PDE Solvers with Physics Constraints: A Comparative Study of PINNs, DRM, and WANs",['Jiakang Chen'],"Partial differential equations (PDEs) underpin models across science and engineering, yet analytical solutions are atypical and classical mesh-based solvers can be costly in high dimensions. This dissertation presents a unified comparison of three mesh-free neural PDE solvers, physics-informed neural networks (PINNs), the deep Ritz method (DRM), and weak adversarial networks (WANs), on Poisson problems (up to 5D) and the time-independent Schrödinger equation in 1D/2D (infinite well and harmonic oscillator), and extends the study to a laser-driven case of Schrödinger's equation via the Kramers-Henneberger (KH) transformation.
  Under a common protocol, all methods achieve low $L_2$ errors ($10^{-6}$-$10^{-9}$) when paired with forced boundary conditions (FBCs), forced nodes (FNs), and orthogonality regularization (OG). Across tasks, PINNs are the most reliable for accuracy and recovery of excited spectra; DRM offers the best accuracy-runtime trade-off on stationary problems; WAN is more sensitive but competitive when weak-form constraints and FN/OG are used effectively. Sensitivity analyses show that FBC removes boundary-loss tuning, network width matters more than depth for single-network solvers, and most gains occur within 5000-10,000 epochs. The same toolkit solves the KH case, indicating transfer beyond canonical benchmarks.
  We provide practical guidelines for method selection and outline the following extensions: time-dependent formulations for DRM and WAN, adaptive residual-driven sampling, parallel multi-state training, and neural domain decomposition. These results support physics-guided neural solvers as credible, scalable tools for solving complex PDEs.",2510.09693v1,cs.LG,2025-10-09 13:41:51+00:00,https://arxiv.org/pdf/2510.09693v1,"""quantum neural network"" AND ""partial differential equation"""
Quantum Random Feature Method for Solving Partial Differential Equations,"['Junpeng Hu', 'Shi Jin', 'Nana Liu', 'Lei Zhang']","Quantum computing holds significant promise for scientific computing due to its potential for polynomial to even exponential speedups over classical methods, which are often hindered by the curse of dimensionality. While neural networks present a mesh-free alternative to solve partial differential equations (PDEs), their accuracy is difficult to achieve since one needs to solve a high-dimensional non-convex optimization problem using the stochastic gradient descent method and its variants, the convergence of which is difficult to prove and cannot be guaranteed. The classical random feature method (RFM) effectively merges advantages from both classical numerical analysis and neural network based techniques, achieving spectral accuracy and a natural adaptability to complex geometries. In this work, we introduce a quantum random feature method (QRFM) that leverages quantum computing to accelerate the classical RFM framework. Our method constructs PDE solutions using quantum-generated random features and enforces the governing equations via a collocation approach. A complexity analysis demonstrates that this hybrid quantum-classical algorithm can achieve a quadratic speedup over the classical RFM.",2510.07945v1,quant-ph,2025-10-09 08:42:09+00:00,https://arxiv.org/pdf/2510.07945v1,"""quantum neural network"" AND ""partial differential equation"""
PALQO: Physics-informed Model for Accelerating Large-scale Quantum Optimization,"['Yiming Huang', 'Yajie Hao', 'Jing Zhou', 'Xiao Yuan', 'Xiaoting Wang', 'Yuxuan Du']","Variational quantum algorithms (VQAs) are leading strategies to reach practical utilities of near-term quantum devices. However, the no-cloning theorem in quantum mechanics precludes standard backpropagation, leading to prohibitive quantum resource costs when applying VQAs to large-scale tasks. To address this challenge, we reformulate the training dynamics of VQAs as a nonlinear partial differential equation and propose a novel protocol that leverages physics-informed neural networks (PINNs) to model this dynamical system efficiently. Given a small amount of training trajectory data collected from quantum devices, our protocol predicts the parameter updates of VQAs over multiple iterations on the classical side, dramatically reducing quantum resource costs. Through systematic numerical experiments, we demonstrate that our method achieves up to a 30x speedup compared to conventional methods and reduces quantum resource costs by as much as 90\% for tasks involving up to 40 qubits, including ground state preparation of different quantum systems, while maintaining competitive accuracy. Our approach complements existing techniques aimed at improving the efficiency of VQAs and further strengthens their potential for practical applications.",2509.20733v1,quant-ph,2025-09-25 04:26:02+00:00,https://arxiv.org/pdf/2509.20733v1,"""quantum neural network"" AND ""partial differential equation"""
Physics-informed neural network solves minimal surfaces in curved spacetime,"['Koji Hashimoto', 'Koichi Kyo', 'Masaki Murata', 'Gakuto Ogiwara', 'Norihiro Tanahashi']","We develop a flexible framework based on physics-informed neural networks (PINNs) for solving boundary value problems involving minimal surfaces in curved spacetimes, with a particular emphasis on singularities and moving boundaries. By encoding the underlying physical laws into the loss function and designing network architectures that incorporate the singular behavior and dynamic boundaries, our approach enables robust and accurate solutions to both ordinary and partial differential equations with complex boundary conditions. We demonstrate the versatility of this framework through applications to minimal surface problems in anti-de Sitter (AdS) spacetime, including examples relevant to the AdS/CFT correspondence (e.g. Wilson loops and gluon scattering amplitudes) popularly used in the context of string theory in theoretical physics. Our methods efficiently handle singularities at boundaries, and also support both ""soft"" (loss-based) and ""hard"" (formulation-based) imposition of boundary conditions, including cases where the position of a boundary is promoted to a trainable parameter. The techniques developed here are not limited to high-energy theoretical physics but are broadly applicable to boundary value problems encountered in mathematics, engineering, and the natural sciences, wherever singularities and moving boundaries play a critical role.",2509.10866v2,hep-th,2025-09-13 15:41:13+00:00,https://arxiv.org/pdf/2509.10866v2,"""quantum neural network"" AND ""partial differential equation"""
Quantum neural ordinary and partial differential equations,"['Yu Cao', 'Shi Jin', 'Nana Liu']","We present a unified framework called Quantum Neural Ordinary and Partial Differential Equations (QNODEs and QNPDEs) that brings the continuous-time formalism of classical neural ODEs/PDEs into quantum machine learning and quantum control. We define QNODEs as the evolution of finite-dimensional quantum systems, and QNPDEs as infinite-dimensional (continuous-variable) counterparts, governed by generalised Schrodinger-type Hamiltonian dynamics with unitary evolution, coupled with a corresponding loss function. Notably, this formalism permits gradient estimation using an adjoint-state method, facilitating efficient learning of quantum dynamics, and other dynamics that can be mapped (relatively easily) to quantum dynamics. Using this method, we present quantum algorithms for computing gradients with and without time discretisation, enabling efficient gradient computation that would otherwise be less efficient on classical devices.
  The formalism subsumes a wide array of applications, including quantum state preparation, Hamiltonian learning, learning dynamics in open systems, and the learning of both autonomous and non-autonomous classical ODEs and PDEs. In many of these applications, we consider scenarios where the Hamiltonian has relatively few tunable parameters, yet the corresponding classical simulation remains inefficient, making quantum approaches advantageous for gradient estimation. This continuous-time perspective can also serve as a blueprint for designing novel quantum neural network architectures, generalising discrete-layered models into continuous-depth models.",2508.18326v1,quant-ph,2025-08-24 18:43:44+00:00,https://arxiv.org/pdf/2508.18326v1,"""quantum neural network"" AND ""partial differential equation"""
Separated-Variable Spectral Neural Networks: A Physics-Informed Learning Approach for High-Frequency PDEs,"['Xiong Xiong', 'Zhuo Zhang', 'Rongchun Hu', 'Chen Gao', 'Zichen Deng']","Solving high-frequency oscillatory partial differential equations (PDEs) is a critical challenge in scientific computing, with applications in fluid mechanics, quantum mechanics, and electromagnetic wave propagation. Traditional physics-informed neural networks (PINNs) suffer from spectral bias, limiting their ability to capture high-frequency solution components.  We introduce Separated-Variable Spectral Neural Networks (SV-SNN), a novel framework that addresses these limitations by integrating separation of variables with adaptive spectral methods. Our approach features three key innovations: (1) decomposition of multivariate functions into univariate function products, enabling independent spatial and temporal networks; (2) adaptive Fourier spectral features with learnable frequency parameters for high-frequency capture; and (3) theoretical framework based on singular value decomposition to quantify spectral bias. Comprehensive evaluation on benchmark problems including Heat equation, Helmholtz equation, Poisson equations and Navier-Stokes equations demonstrates that SV-SNN achieves 1-3 orders of magnitude improvement in accuracy while reducing parameter count by over 90\% and training time by 60\%. These results establish SV-SNN as an effective solution to the spectral bias problem in neural PDE solving. The implementation will be made publicly available upon acceptance at https://github.com/xgxgnpu/SV-SNN.",2508.00628v1,cs.LG,2025-08-01 13:40:10+00:00,https://arxiv.org/pdf/2508.00628v1,"""quantum neural network"" AND ""partial differential equation"""
"Quantum Physics-Informed Neural Networks for Maxwell's Equations: Circuit Design, ""Black Hole"" Barren Plateaus Mitigation, and GPU Acceleration","['Ziv Chen', 'Gal G. Shaviner', 'Hemanth Chandravamsi', 'Shimon Pisnoy', 'Steven H. Frankel', 'Uzi Pereg']","Physics-Informed Neural Networks (PINNs) have emerged as a promising approach for solving partial differential equations by embedding the governing physics into the loss function associated with deep neural network. In this work, a Quantum Physics-Informed Neural Network (QPINN) framework is proposed to solve two-dimensional (2D) time-dependent Maxwell's equations. Our approach utilizes a parameterized quantum circuit in conjunction with the classical neural network architecture and enforces physical laws, including a global energy conservation principle, during training. A quantum simulation library was developed to efficiently compute circuit outputs and derivatives by leveraging GPU acceleration based on PyTorch, enabling end-to-end training of the QPINN. The method was evaluated on two 2D electromagnetic wave propagation problems: one in free space (vacuum) and one with a dielectric medium. Multiple quantum circuit ansätze, input scales, and an added loss term were compared in a thorough ablation study. Furthermore, recent techniques to enhance PINN convergence, including random Fourier feature embeddings and adaptive time-weighting, were incorporated. Our results demonstrate that the QPINN achieves accuracy comparable, and even greater than the classical PINN baseline, while using a significantly smaller number of trainable parameters. This study also shows that adding an energy conservation term to the loss stabilizes training and improves the physical fidelity of the solution in the lossless free-space case. This added term helps mitigate a new kind of a barren plateau (BP) related phenomenon - ``black hole'' (BH) loss landscape for the quantum experiments in that scenario. By optimizing the quantum-circuit ansatz and embedding energy-conservation constraints, our QPINN achieves up to a 19 percent higher accuracy on 2D Maxwell benchmark problems compared to a classical PINN.",2506.23246v1,quant-ph,2025-06-29 14:10:38+00:00,https://arxiv.org/pdf/2506.23246v1,"""quantum neural network"" AND ""partial differential equation"""
