title,authors,abstract,arxiv_id,category,date,pdf_url
On the treatment of thermal effects in the equation of state on neutron star merger remnants,"['Davide Guerra', 'Milton Ruiz', 'Michele Pasquali', 'Pablo Cerdá-Durán', 'Arnau Rios', 'José A. Font']","We present results from long-term, numerical-relativity simulations of binary neutron star mergers modeled using both, fully tabulated, finite-temperature, equations of state and their corresponding hybrid representations. The simulations extend up to 150 ms which allows us to assess the role of the treatment of finite-temperature effects on the dynamics of the hypermassive neutron star remnant. Our study focuses on the analysis of the spectra of the post-merger gravitational-wave signals and on how these are affected by the treatment of thermal effects in the two EOS representations. Our simulations highlight distinct differences in the GW frequency evolution related to the thermal modeling of the EOS, demonstrating that deviations from established quasi-universal relations become significant at late post-merger phases. Furthermore, we investigate the stability of the HMNS against convection. Employing both the Ledoux criterion, necessary condition for the development of convective instabilities, and the Solberg-Høiland criterion, a generalized criterion for axisymmetric perturbations based on a combined analysis of the Brunt-Väisälä frequency and of the epicyclic frequency, we show that differential rotation and thermal stratification in the HMNS give rise to local (yet sustained) convective patterns that persist beyond 100 ms after merger. Those convective patterns, while substantially different between tabulated and hybrid EOS treatments, trigger the the excitation of inertial modes with frequencies smaller than those attained by the fundamental quadrupolar mode, and are potentially within reach of third-generation GW detectors. The late-time excitation of inertial modes, previously reported in studies based on hybrid EOS, is fully supported by the tabulated, finite-temperature EOS simulations presented here, which account for thermal effects in a more consistent way.",2512.05118v1,gr-qc,2025-12-04 18:59:58+00:00,https://arxiv.org/pdf/2512.05118v1
The Universal Weight Subspace Hypothesis,"['Prakhar Kaushik', 'Shravan Chaudhari', 'Ankit Vaidya', 'Rama Chellappa', 'Alan Yuille']","We show that deep neural networks trained across diverse tasks exhibit remarkably similar low-dimensional parametric subspaces. We provide the first large-scale empirical evidence that demonstrates that neural networks systematically converge to shared spectral subspaces regardless of initialization, task, or domain. Through mode-wise spectral analysis of over 1100 models - including 500 Mistral-7B LoRAs, 500 Vision Transformers, and 50 LLaMA-8B models - we identify universal subspaces capturing majority variance in just a few principal directions. By applying spectral decomposition techniques to the weight matrices of various architectures trained on a wide range of tasks and datasets, we identify sparse, joint subspaces that are consistently exploited, within shared architectures across diverse tasks and datasets. Our findings offer new insights into the intrinsic organization of information within deep networks and raise important questions about the possibility of discovering these universal subspaces without the need for extensive data and computational resources. Furthermore, this inherent structure has significant implications for model reusability, multi-task learning, model merging, and the development of training and inference-efficient algorithms, potentially reducing the carbon footprint of large-scale neural models.",2512.05117v1,cs.LG,2025-12-04 18:59:58+00:00,https://arxiv.org/pdf/2512.05117v1
Value Gradient Guidance for Flow Matching Alignment,"['Zhen Liu', 'Tim Z. Xiao', 'Carles Domingo-Enrich', 'Weiyang Liu', 'Dinghuai Zhang']","While methods exist for aligning flow matching models--a popular and effective class of generative models--with human preferences, existing approaches fail to achieve both adaptation efficiency and probabilistically sound prior preservation. In this work, we leverage the theory of optimal control and propose VGG-Flow, a gradient-matching-based method for finetuning pretrained flow matching models. The key idea behind this algorithm is that the optimal difference between the finetuned velocity field and the pretrained one should be matched with the gradient field of a value function. This method not only incorporates first-order information from the reward model but also benefits from heuristic initialization of the value function to enable fast adaptation. Empirically, we show on a popular text-to-image flow matching model, Stable Diffusion 3, that our method can finetune flow matching models under limited computational budgets while achieving effective and prior-preserving alignment.",2512.05116v1,cs.LG,2025-12-04 18:59:57+00:00,https://arxiv.org/pdf/2512.05116v1
Deep infant brain segmentation from multi-contrast MRI,"['Malte Hoffmann', 'Lilla Zöllei', 'Adrian V. Dalca']","Segmentation of magnetic resonance images (MRI) facilitates analysis of human brain development by delineating anatomical structures. However, in infants and young children, accurate segmentation is challenging due to development and imaging constraints. Pediatric brain MRI is notoriously difficult to acquire, with inconsistent availability of imaging modalities, substantial non-head anatomy in the field of view, and frequent motion artifacts. This has led to specialized segmentation models that are often limited to specific image types or narrow age groups, or that are fragile for more variable images such as those acquired clinically. We address this method fragmentation with BabySeg, a deep learning brain segmentation framework for infants and young children that supports diverse MRI protocols, including repeat scans and image types unavailable during training. Our approach builds on recent domain randomization techniques, which synthesize training images far beyond realistic bounds to promote dataset shift invariance. We also describe a mechanism that enables models to flexibly pool and interact features from any number of input scans. We demonstrate state-of-the-art performance that matches or exceeds the accuracy of several existing methods for various age cohorts and input configurations using a single model, in a fraction of the runtime required by many existing tools.",2512.05114v1,cs.LG,2025-12-04 18:59:55+00:00,https://arxiv.org/pdf/2512.05114v1
DraCo: Draft as CoT for Text-to-Image Preview and Rare Concept Generation,"['Dongzhi Jiang', 'Renrui Zhang', 'Haodong Li', 'Zhuofan Zong', 'Ziyu Guo', 'Jun He', 'Claire Guo', 'Junyan Ye', 'Rongyao Fang', 'Weijia Li', 'Rui Liu', 'Hongsheng Li']","Recent unified multimodal large language models (MLLMs) have shown impressive capabilities, incorporating chain-of-thought (CoT) reasoning for enhanced text-to-image generation. However, existing approaches remain limited, either treating the model merely as a standalone generator or relying on abstract textual planning. To this end, we propose Draft-as-CoT (DraCo), a novel interleaved reasoning paradigm that fully leverages both textual and visual contents in CoT for better planning and verification. Our method first generates a low-resolution draft image as preview, providing more concrete and structural visual planning and guidance. Then, we employ the model's inherent understanding capability to verify potential semantic misalignments between the draft and input prompt, and performs refinement through selective corrections with super-resolution. In this way, our approach addresses two fundamental challenges: the coarse-grained nature of textual planning and the difficulty in generating rare attribute combinations. To support training, we curate DraCo-240K, aiming to enhance three atomic capabilities spanning general correction, instance manipulation, and layout reorganization. Supported by DraCo-CFG, a specialized classifier-free guidance (CFG) strategy for interleaved reasoning, DraCo achieves a tremendous increase on GenEval (+8%), Imagine-Bench (+0.91), and GenEval++ (+3%), significantly outperforming direct generation and other generation methods empowered by CoT.",2512.05112v1,cs.CV,2025-12-04 18:59:53+00:00,https://arxiv.org/pdf/2512.05112v1
ARM-Thinker: Reinforcing Multimodal Generative Reward Models with Agentic Tool Use and Visual Reasoning,"['Shengyuan Ding', 'Xinyu Fang', 'Ziyu Liu', 'Yuhang Zang', 'Yuhang Cao', 'Xiangyu Zhao', 'Haodong Duan', 'Xiaoyi Dong', 'Jianze Liang', 'Bin Wang', 'Conghui He', 'Dahua Lin', 'Jiaqi Wang']","Reward models are critical for aligning vision-language systems with human preferences, yet current approaches suffer from hallucination, weak visual grounding, and an inability to use tools for verification, limiting their reliability on complex multimodal reasoning tasks. We present ARM-Thinker, an A}gentic multimodal Reward Model that autonomously invokes external tools (e.g., image cropping, doc page retrieval) to ground judgments in verifiable evidence, replacing static, non-interactive reward scoring. This enables the model to verify fine-grained visual details, cross-reference multi-page evidence, and validate reasoning claims, which are capabilities absent in existing reward models. We train ARM-Thinker with multi-stage reinforcement learning, jointly optimizing tool-calling decisions and judgment accuracy. To evaluate agentic reward modeling, we introduce ARMBench-VL, comprising three benchmarks that assess fine-grained visual grounding (image-level tools), multi-page document understanding (retrieval tools), and instruction following (text-level verification). ARM-Thinker achieves +16.2% average improvement on reward modeling benchmarks, +9.6% on tool-use tasks, and outperforms baselines on multimodal math and logical reasoning benchmarks. Our results demonstrate that agentic capabilities significantly enhance both accuracy and interpretability of reward models.",2512.05111v1,cs.CV,2025-12-04 18:59:52+00:00,https://arxiv.org/pdf/2512.05111v1
Global phase diagram of two-dimensional dirty hyperbolic Dirac liquids,"['Christopher A. Leong', 'Daniel J. Salib', 'Bitan Roy']","Within the framework of the canonical nearest-neighbor tight-binding model for spinless fermions, a family of two-dimensional bipartite hyperbolic lattices hosts massless Diraclike excitations near half-filling with the iconic vanishing density of states (DOS) near zero energy. We show that a collection of such ballistic quasiparticles remains stable against sufficiently weak pointlike charge impurities, a feature captured by the vanishing average [$ρ_{a}(0)$] and typical [$ρ_{t}(0)$] DOS at zero energy, computed by employing the kernel polynomial method in sufficiently large $\{ 10, 3\}$ hyperbolic lattices (Schläfli symbol) with more than $10^8$ and $10^5$ sites, respectively, with open boundary conditions. However, at moderate disorder the system enters a metallic state via a continuous quantum phase transition where both $ρ_{a}(0)$ and $ρ_{t}(0)$ become finite. With increasing strength of disorder, ultimately an Anderson insulator sets in, where only $ρ_{t}(0) \to 0$. The resulting phase diagram for dirty Dirac fermions living on a hyperbolic space solely stems from the background negative spatial curvature, as confirmed from the vanishing $ρ_{t}(0)$ for arbitrarily weak disorder on honeycomb lattices, fostering relativistic fermions on a flatland, as the thermodynamic limit is approached.",2512.05109v1,cond-mat.mes-hall,2025-12-04 18:59:37+00:00,https://arxiv.org/pdf/2512.05109v1
STARE-VLA: Progressive Stage-Aware Reinforcement for Fine-Tuning Vision-Language-Action Models,"['Feng Xu', 'Guangyao Zhai', 'Xin Kong', 'Tingzhong Fu', 'Daniel F. N. Gordon', 'Xueli An', 'Benjamin Busam']","Recent advances in Vision-Language-Action (VLA) models, powered by large language models and reinforcement learning-based fine-tuning, have shown remarkable progress in robotic manipulation. Existing methods often treat long-horizon actions as linguistic sequences and apply trajectory-level optimization methods such as Trajectory-wise Preference Optimization (TPO) or Proximal Policy Optimization (PPO), leading to coarse credit assignment and unstable training. However, unlike language, where a unified semantic meaning is preserved despite flexible sentence order, action trajectories progress through causally chained stages with different learning difficulties. This motivates progressive stage optimization. Thereby, we present Stage-Aware Reinforcement (STARE), a module that decomposes a long-horizon action trajectory into semantically meaningful stages and provides dense, interpretable, and stage-aligned reinforcement signals. Integrating STARE into TPO and PPO, we yield Stage-Aware TPO (STA-TPO) and Stage-Aware PPO (STA-PPO) for offline stage-wise preference and online intra-stage interaction, respectively. Further building on supervised fine-tuning as initialization, we propose the Imitation -> Preference -> Interaction (IPI), a serial fine-tuning pipeline for improving action accuracy in VLA models. Experiments on SimplerEnv and ManiSkill3 demonstrate substantial gains, achieving state-of-the-art success rates of 98.0 percent on SimplerEnv and 96.4 percent on ManiSkill3 tasks.",2512.05107v1,cs.RO,2025-12-04 18:59:22+00:00,https://arxiv.org/pdf/2512.05107v1
NeuralRemaster: Phase-Preserving Diffusion for Structure-Aligned Generation,"['Yu Zeng', 'Charles Ochoa', 'Mingyuan Zhou', 'Vishal M. Patel', 'Vitor Guizilini', 'Rowan McAllister']","Standard diffusion corrupts data using Gaussian noise whose Fourier coefficients have random magnitudes and random phases. While effective for unconditional or text-to-image generation, corrupting phase components destroys spatial structure, making it ill-suited for tasks requiring geometric consistency, such as re-rendering, simulation enhancement, and image-to-image translation. We introduce Phase-Preserving Diffusion φ-PD, a model-agnostic reformulation of the diffusion process that preserves input phase while randomizing magnitude, enabling structure-aligned generation without architectural changes or additional parameters. We further propose Frequency-Selective Structured (FSS) noise, which provides continuous control over structural rigidity via a single frequency-cutoff parameter. φ-PD adds no inference-time cost and is compatible with any diffusion model for images or videos. Across photorealistic and stylized re-rendering, as well as sim-to-real enhancement for driving planners, φ-PD produces controllable, spatially aligned results. When applied to the CARLA simulator, φ-PD improves CARLA-to-Waymo planner performance by 50\%. The method is complementary to existing conditioning approaches and broadly applicable to image-to-image and video-to-video generation. Videos, additional examples, and code are available on our \href{https://yuzeng-at-tri.github.io/ppd-page/}{project page}.",2512.05106v1,cs.CV,2025-12-04 18:59:18+00:00,https://arxiv.org/pdf/2512.05106v1
Semantic Soft Bootstrapping: Long Context Reasoning in LLMs without Reinforcement Learning,"['Purbesh Mitra', 'Sennur Ulukus']","Long context reasoning in large language models (LLMs) has demonstrated enhancement of their cognitive capabilities via chain-of-thought (CoT) inference. Training such models is usually done via reinforcement learning with verifiable rewards (RLVR) in reasoning based problems, like math and programming. However, RLVR is limited by several bottlenecks, such as, lack of dense reward, and inadequate sample efficiency. As a result, it requires significant compute resources in post-training phase. To overcome these limitations, in this work, we propose \textbf{Semantic Soft Bootstrapping (SSB)}, a self-distillation technique, in which the same base language model plays the role of both teacher and student, but receives different semantic contexts about the correctness of its outcome at training time. The model is first prompted with a math problem and several rollouts are generated. From them, the correct and most common incorrect response are filtered, and then provided to the model in context to produce a more robust, step-by-step explanation with a verified final answer. This pipeline automatically curates a paired teacher-student training set from raw problem-answer data, without any human intervention. This generation process also produces a sequence of logits, which is what the student model tries to match in the training phase just from the bare question alone. In our experiment, Qwen2.5-3B-Instruct on GSM8K dataset via parameter-efficient fine-tuning. We then tested its accuracy on MATH500, and AIME2024 benchmarks. Our experiments show a jump of 10.6%, and 10% improvements in accuracy, respectively, over group relative policy optimization (GRPO), which is a commonly used RLVR algorithm. Our code is available at https://github.com/purbeshmitra/semantic-soft-bootstrapping, and the model, curated dataset is available at https://huggingface.co/purbeshmitra/semantic-soft-bootstrapping.",2512.05105v1,cs.CL,2025-12-04 18:59:18+00:00,https://arxiv.org/pdf/2512.05105v1
