title,arxiv_id,category,date,cluster,abstract_clean
Quantum-Classical Physics-Informed Neural Networks for Solving Reservoir Seepage Equations,2512.03923v1,cs.LG,2025-12-03 16:14:16+00:00,1,solving pdes reservoir seepage critical optimizing oil gas field development predicting production performance traditional suffer meshdependent errors high costs physicsinformed pinns face bottlenecks parameter efficiency highdimensional expression strong nonlinear fitting address limitations discrete variable dvcircuit quantumclassical physicsinformed qcpinn typical reservoir seepage time pressure diffusion heterogeneous singlephase flow nonlinear buckleyleverett bl twophase waterflooding convectiondiffusion compositional flow considering adsorption qcpinn integrates dv core leveraging superposition entanglement enhance highdimensional feature mapping embedding physical constraints ensure consistency test circuit topologies cascade crossmesh alternate experiments qcpinns achieve high prediction fewer parameters pinns specifically alternate topology outperforms others heterogeneous singlephase flow twophase bl simulations cascade topology excels compositional flow coupling verifies feasibility qcpinn reservoir engineering applications bridging gap computing research industrial practice oil gas engineering
Quantum Orthogonal Separable Physics-Informed Neural Networks,2511.12613v1,quant-ph,2025-11-16 14:15:19+00:00,1,introduces orthogonal separable physicsinformed qospinns architecture solving equations integrating computing principles address bottlenecks methods leverage accelerating matrix multiplication within layer achieving mathcal odlog de complexity significant improvement mathcal od complexity d dimension matrix e level accomplished hamming weightpreserving circuit unary basis encoding comprehensive theoretical analysis overall architecture provided practical utility applying solve forward inverse pde problems furthermore exploit inherent orthogonality circuits which guarantees spectral norm uncertainty quantification method adapts spectral normalized gaussian process spinns eliminating need computationally expensive spectral normalization step orthogonal spinn architecture stacking robust framework uncertainty quantification uq which knowledge uq specifically designed separable pinns simulation circuits validate theoretical claims efficacy method
APRIL: Auxiliary Physically-Redundant Information in Loss - A physics-informed framework for parameter estimation with a gravitational-wave case study,2510.13677v1,gr-qc,2025-10-15 15:34:19+00:00,3,physicsinformed pinns embed pdes governing directly networks ensuring respect physical laws effective singlesystem problems standard pinns scale poorly datasets containing many realizations underlying physics varying parameters address limitation present complementary including auxiliary physicallyredundant information loss april ie augment standard supervised outputtarget loss auxiliary terms exploit exact physical redundancy relations among outputs mathematically terms preserve true physical minimum reshaping loss landscape improving convergence toward physically consistent solutions proofofconcept benchmark april fullyconnected gravitational wave gw parameter estimation pe simulated noisefree compact binary coalescence cbc signals focusing inspiralfrequency waveforms recover chirp mass mathcalm total mass mmathrmtot symmetric mass ratio e binary controlled setting april achieves orderofmagnitude improvement test accuracy especially parameters otherwise difficult learn provides physically consistent large multisystem datasets well suited future gw analyses involving realistic noise broader parameter ranges
"Neural PDE Solvers with Physics Constraints: A Comparative Study of PINNs, DRM, and WANs",2510.09693v1,cs.LG,2025-10-09 13:41:51+00:00,4,pdes underpin across science engineering yet analytical atypical meshbased solvers costly high dimensions dissertation unified comparison meshfree pde solvers physicsinformed pinns ritz drm weak adversarial wans poisson up d timeindependent schrodinger dd infinite well harmonic oscillator extends laserdriven case schrodingers via kramershenneberger kh transformation common protocol achieve low l errors paired forced boundary conditions fbcs forced nodes fns orthogonality regularization og across tasks pinns reliable recovery excited spectra drm offers best accuracyruntime tradeoff stationary problems wan sensitive competitive weakform constraints fnog effectively sensitivity analyses fbc removes boundaryloss tuning width matters depth singlenetwork solvers gains occur within epochs toolkit solves kh case indicating transfer beyond canonical benchmarks practical guidelines selection outline following extensions timedependent formulations drm wan adaptive residualdriven sampling parallel multistate training domain decomposition support physicsguided solvers credible scalable tools solving complex pdes
Quantum Random Feature Method for Solving Partial Differential Equations,2510.07945v1,quant-ph,2025-10-09 08:42:09+00:00,1,computing holds significant promise scientific computing due potential polynomial even exponential speedups methods often hindered curse dimensionality present meshfree alternative solve pdes difficult achieve since needs solve highdimensional nonconvex optimization stochastic gradient descent variants convergence difficult prove cannot guaranteed random feature rfm effectively merges advantages analysis techniques achieving spectral natural adaptability complex geometries work random feature qrfm leverages computing accelerate rfm framework constructs pde quantumgenerated random features enforces governing via collocation approach complexity analysis demonstrates hybrid quantumclassical achieve quadratic speedup rfm
PALQO: Physics-informed Model for Accelerating Large-scale Quantum Optimization,2509.20733v1,quant-ph,2025-09-25 04:26:02+00:00,1,variational vqas leading strategies reach practical utilities nearterm devices however nocloning theorem mechanics precludes standard backpropagation leading prohibitive resource costs applying vqas largescale tasks address challenge reformulate dynamics vqas nonlinear protocol leverages physicsinformed pinns dynamical efficiently given small amount trajectory collected devices protocol predicts parameter updates vqas multiple iterations side dramatically reducing resource costs systematic experiments achieves x speedup compared conventional reduces resource costs much tasks involving qubits including ground state preparation different systems maintaining competitive accuracy complements existing techniques aimed improving efficiency vqas strengthens potential practical applications
Physics-informed neural network solves minimal surfaces in curved spacetime,2509.10866v2,hep-th,2025-09-13 15:41:13+00:00,7,flexible framework physicsinformed pinns solving boundary value involving minimal surfaces curved spacetimes particular emphasis singularities moving boundaries encoding underlying physical laws loss designing architectures incorporate singular behavior dynamic boundaries enables robust accurate ordinary complex boundary conditions versatility framework applications minimal surface antide sitter ads spacetime including examples relevant adscft correspondence eg wilson loops gluon scattering amplitudes popularly context string theory theoretical physics efficiently handle singularities boundaries support soft lossbased hard formulationbased imposition boundary conditions including cases position boundary promoted trainable parameter techniques developed limited highenergy theoretical physics broadly applicable boundary value encountered mathematics engineering natural sciences wherever singularities moving boundaries play critical role
Quantum neural ordinary and partial differential equations,2508.18326v1,quant-ph,2025-08-24 18:43:44+00:00,5,present unified framework called ordinary qnodes qnpdes brings continuoustime formalism odespdes control define qnodes evolution finitedimensional systems qnpdes infinitedimensional continuousvariable counterparts governed generalised schrodingertype hamiltonian dynamics unitary evolution coupled corresponding loss function notably formalism permits gradient estimation adjointstate method facilitating dynamics dynamics mapped relatively easily dynamics method present computing gradients without time discretisation enabling gradient computation would otherwise less devices formalism subsumes wide array applications including state preparation hamiltonian learning dynamics open systems autonomous nonautonomous odes pdes many applications scenarios hamiltonian relatively tunable parameters yet corresponding simulation remains inefficient making approaches advantageous gradient estimation continuoustime perspective serve blueprint designing architectures generalising discretelayered continuousdepth models
Separated-Variable Spectral Neural Networks: A Physics-Informed Learning Approach for High-Frequency PDEs,2508.00628v1,cs.LG,2025-08-01 13:40:10+00:00,1,solving highfrequency oscillatory pdes critical challenge scientific computing applications fluid mechanics mechanics electromagnetic wave propagation traditional physicsinformed pinns suffer spectral bias limiting ability capture highfrequency components separatedvariable spectral svsnn framework addresses limitations integrating separation variables adaptive spectral methods features key innovations decomposition multivariate univariate products enabling independent spatial temporal networks adaptive fourier spectral features learnable frequency parameters highfrequency capture theoretical framework singular value decomposition quantify spectral bias comprehensive evaluation benchmark including heat equation helmholtz equation poisson navierstokes demonstrates svsnn achieves orders magnitude improvement reducing parameter count time establish svsnn effective spectral bias pde solving implementation made publicly available upon acceptance
"Quantum Physics-Informed Neural Networks for Maxwell's Equations: Circuit Design, ""Black Hole"" Barren Plateaus Mitigation, and GPU Acceleration",2506.23246v1,quant-ph,2025-06-29 14:10:38+00:00,3,physicsinformed pinns emerged promising solving embedding governing physics loss associated network work physicsinformed qpinn framework solve twodimensional d timedependent maxwells equations utilizes parameterized circuit conjunction architecture enforces physical laws including global energy conservation principle training simulation library developed efficiently compute circuit outputs derivatives leveraging gpu acceleration pytorch enabling endtoend qpinn evaluated d electromagnetic wave propagation problems free space vacuum dielectric medium multiple circuit ansatze input scales added loss term compared thorough ablation study furthermore recent techniques enhance pinn convergence including random fourier feature embeddings adaptive timeweighting incorporated qpinn achieves comparable even greater pinn baseline significantly smaller number trainable parameters adding energy conservation term loss stabilizes improves physical fidelity lossless freespace case added term helps mitigate kind barren plateau bp related phenomenon black hole bh loss landscape experiments scenario optimizing quantumcircuit ansatz embedding energyconservation constraints qpinn achieves percent higher d maxwell benchmark compared pinn
