Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,75100943,G,6.20385,-4.26661,0.456545,-4.4793,4.29097,-0.91207,3.03499,-1,G,9.66898,7.27397,-2.82112,-5.7104,7.80188,-0.678625,-0.369977,1,11.5534
165617,75492770,G,16.201,5.64702,4.15408,14.6053,7.01036,1.48032,0.634236,1,T,4.12495,3.35862,-2.23835,0.844684,4.03616,0.207781,-0.587852,1,9.46937
165617,75587682,G,19.2892,-4.21208,-0.651623,18.8121,4.26219,2.19046,-2.98811,-1,G,9.82439,4.34394,-0.473505,8.79849,4.36967,1.44967,-0.108575,1,9.16361
165617,75167029,G,9.75833,2.39032,-3.78235,8.67145,4.47435,1.41558,-1.0072,-1,G,13.5684,-3.39746,5.19098,12.0665,6.20395,1.41875,2.15032,1,10.5391
165617,75281957,G,9.63652,1.65156,-5.43133,7.78616,5.67688,1.12134,-1.2756,1,G,7.02632,-1.64493,4.44183,5.18867,4.73663,0.947273,1.92546,-1,10.4079
165617,75393376,G,6.01118,3.36137,2.88831,4.0598,4.43184,0.820752,0.709849,-1,G,7.75571,-5.04158,-3.01265,5.06422,5.87312,0.780559,-2.60297,1,10.1706
165617,74452546,G,12.0723,-3.73219,2.51036,-11.2026,4.4979,-1.64374,2.54948,-1,G,10.4401,3.35463,-3.42022,-9.27537,4.79076,-1.41468,-0.795079,1,9.29997
165617,74496866,G,6.22365,-0.509158,4.20978,-4.55424,4.24046,-0.932742,1.69116,-1,G,5.75664,-0.530833,-5.4727,1.70163,5.49838,0.304739,-1.66749,1,11.5201
165617,75244714,G,6.34141,4.70274,-2.52771,-3.42013,5.33901,-0.60332,-0.493193,1,G,7.27079,-5.46354,1.06529,-4.67634,5.55079,-0.763535,2.94905,-1,10.8177
165617,75392933,G,5.17516,-2.72562,-4.07641,-1.65075,4.90369,-0.33058,-2.16016,-1,G,6.87391,4.21752,2.86896,4.60663,5.10082,0.81118,0.597347,1,11.5221
165617,75447381,G,17.619,5.76253,0.763444,16.6321,5.81288,1.77363,0.131717,1,G,8.97265,-4.5331,-0.11933,7.74171,4.53467,1.30448,-3.11527,-1,10.5406
165617,74949533,G,10.1639,3.06007,3.51186,-9.03302,4.65802,-1.41613,0.854036,1,G,4.01316,-1.94351,-3.14969,-1.54807,3.70105,-0.406952,-2.12366,-1,9.36217
165617,75261701,G,13.5297,-0.497435,-5.51919,-12.3423,5.54156,-1.54087,-1.66068,-1,G,4.66891,0.601808,4.32077,-1.66021,4.36248,-0.371931,1.4324,1,11.5616
165617,75347644,G,16.0386,3.20006,2.95221,-15.436,4.35384,-1.97811,0.745134,-1,G,4.92456,-3.495,-2.25967,-2.63039,4.16187,-0.596089,-2.56765,1,10.6063
165617,74956552,G,20.6554,5.27759,3.41561,-19.6752,6.28644,-1.85871,0.574398,-1,G,15.8991,-2.77254,-3.29672,-15.3041,4.30759,-1.98013,-2.27004,1,10.3145
165617,74582674,G,4.55234,2.13846,3.99012,0.467524,4.52704,0.103091,1.07881,-1,G,4.94698,-1.92902,-3.82159,2.47704,4.28085,0.550417,-2.03825,1,9.02743
165617,74783010,G,14.1327,-3.61381,-2.4379,-13.4432,4.35924,-1.84463,-2.54811,1,G,6.31997,3.42395,3.02134,-4.36794,4.56639,-0.850308,0.723014,-1,10.0349
165617,74700210,G,36.8485,-15.8506,2.36666,33.1807,16.0263,1.47468,2.99338,-1,G,10.2783,-4.13265,6.15626,7.1171,7.41474,0.852702,2.16199,1,11.1825
165617,74633433,G,9.60951,1.28362,3.99993,-8.64202,4.20085,-1.46893,1.26027,-1,T,4.65567,-2.27138,-4.00436,0.685588,4.6037,0.148376,-2.08677,1,11.7989
165617,74763345,G,6.60593,-4.73726,2.16181,-4.06349,5.20722,-0.717257,2.71348,-1,G,5.05024,3.55297,-2.3339,-2.72452,4.25097,-0.603594,-0.5812,1,9.39983
165617,75726964,G,9.39973,-0.490007,4.62093,-8.1701,4.64684,-1.32996,1.67644,1,G,9.9716,-1.07778,-6.90969,-7.10748,6.99325,-0.892877,-1.72553,-1,11.5822
165617,75839572,G,6.12025,1.7316,3.95429,4.33722,4.31681,0.884712,1.15805,-1,G,5.27782,4.37039,0.948135,-2.8009,4.47205,-0.591256,0.213635,1,8.14173
165617,75118067,G,5.8383,-2.35655,5.27586,0.828609,5.77823,0.142915,1.99087,-1,G,6.13325,3.62783,-2.28183,4.38608,4.28578,0.897826,-0.561456,1,10.2735
165617,75321094,G,8.03243,-3.06971,-4.04159,-6.22505,5.07519,-1.03287,-2.22037,-1,G,16.1635,2.07249,3.50162,-15.6426,4.06898,-2.05626,1.03638,1,10.2938
165617,75655550,G,8.55343,-1.16439,-7.73761,3.45306,7.82473,0.428103,-1.72016,1,G,15.5005,9.95,-9.48521,7.16116,13.7467,0.49986,-0.761488,-1,9.59775
165617,75283124,G,9.31889,2.23509,0.874926,9.00385,2.40023,2.03254,0.373114,-1,T,3.6816,-1.89188,-3.1559,0.0640374,3.67953,0.0174028,-2.11083,1,9.02582
165617,75514063,G,12.4548,5.68127,-1.05258,-11.033,5.77796,-1.40241,-0.183194,-1,G,6.27044,-3.86794,1.14388,-4.79978,4.03354,-1.00953,2.85405,1,9.83173
165617,74606620,G,5.88721,2.47526,0.727043,-5.2908,2.57982,-1.46614,0.285689,-1,G,17.7728,11.5434,-12.2167,-5.77621,16.8077,-0.337236,-0.813728,-1,10.4299
165617,75675215,G,4.81247,-1.77436,-3.70995,-2.49731,4.11243,-0.57504,-2.01691,-1,G,5.74409,1.36577,4.04991,3.83619,4.274,0.807054,1.24554,1,10.4578
165617,75437407,G,20.4177,-3.51671,-19.3049,5.64138,19.6226,0.283675,-1.75099,-1,G,11.9405,6.1103,-8.64876,5.51608,10.5895,0.499829,-0.955725,1,11.5944
165617,74521647,G,9.00345,-1.80944,4.77839,7.41241,5.10951,1.16711,1.93278,1,G,12.3449,2.10396,-4.98242,11.0966,5.40843,1.46653,-1.17123,-1,10.6321
165617,74913111,G,10.3564,-4.65682,-1.05444,9.18943,4.77471,1.4094,-2.91892,1,G,7.20309,5.03688,2.62885,4.42632,5.68164,0.71623,0.48103,-1,10.9692
165617,75679474,G,4.43657,-2.53817,-3.63235,0.189053,4.43128,0.0426504,-2.18069,1,G,4.62736,2.9446,3.25016,-1.47211,4.38568,-0.32966,0.834683,-1,8.9553
165617,75818794,G,10.4038,-2.10239,-3.59405,9.53368,4.1638,1.56615,-2.10009,-1,G,5.09119,2.03797,4.01795,2.36892,4.50524,0.50418,1.10139,1,9.91158
165617,75886010,G,9.03502,3.92275,-1.11683,8.06134,4.07864,1.43307,-0.277367,1,G,4.59981,-4.20674,1.2815,-1.34469,4.3976,-0.301202,2.84589,-1,11.8612
165617,75147032,G,6.45852,2.64834,3.07194,5.02502,4.05592,1.04066,0.859316,-1,G,8.89342,-4.36119,-3.66924,6.82631,5.69942,1.01451,-2.44215,1,9.58841
165617,75686747,G,10.4334,-3.53349,2.26371,-9.55171,4.19642,-1.56073,2.57182,-1,G,14.9759,5.88534,-2.15204,-13.6014,6.26646,-1.51739,-0.350558,1,10.1992
165617,75780123,G,6.13032,-0.0618615,-5.39831,-2.90243,5.39866,-0.514605,-1.58226,1,G,5.07879,-1.11635,4.03043,-2.87964,4.18218,-0.643263,1.841,-1,9.43146
165617,75761417,G,7.32899,4.46765,-1.35933,5.64759,4.66987,1.02196,-0.295362,-1,G,14.2878,-4.14853,0.822566,13.6471,4.22929,1.88783,2.94585,1,9.72682
165617,74538510,G,6.61956,-3.33234,-4.91364,-2.92559,5.93703,-0.474736,-2.16673,1,G,5.18556,3.07959,3.25914,2.6025,4.48396,0.551946,0.813717,-1,11.6814
165617,74731310,G,10.286,0.0386265,-5.50773,8.68649,5.50786,1.23679,-1.56378,-1,G,12.6289,-0.884971,5.23199,11.4595,5.3063,1.51281,1.73836,1,10.883
