Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,75206813,G,10.1623,0.47626199999999996,-8.51642,5.52306,8.52973,0.609133,-1.5149299999999999,-1,G,19.7754,2.7508,-13.9871,13.7059,14.255,0.853872,-1.3766100000000001,1,3.1131900000000003
165617,74428554,G,21.8279,-6.22138,11.0845,17.7447,12.7111,1.1356600000000001,2.08225,-1,G,36.6513,-10.6874,15.0692,31.6544,18.4743,1.30761,2.18768,1,3.10098
165617,74981507,G,30.5862,15.5218,5.12931,-25.8509,16.3474,-1.23906,0.31916,1,G,12.4868,7.7640199999999995,1.04247,-9.72328,7.83369,-1.04209,0.133471,-1,3.07267
165617,75612982,G,7.554410000000001,1.29129,-5.35884,-5.164619999999999,5.512230000000001,-0.836073,-1.3343399999999999,-1,T,3.8416099999999997,-0.9895780000000001,-3.4548300000000003,-1.3534,3.59376,-0.36822,-1.8497599999999998,1,3.10045
165617,74760204,G,24.6376,9.98359,19.1426,-11.8697,21.5896,-0.525296,1.09007,1,G,11.0213,3.37851,7.82724,-6.98411,8.52525,-0.7476109999999999,1.1633200000000001,-1,3.1896400000000003
165617,75204668,G,10.7051,-8.46643,-2.2374400000000003,-6.15638,8.75709,-0.6551359999999999,-2.8832299999999997,1,G,55.1896,-45.0429,-16.6152,-27.2205,48.0096,-0.540305,-2.7882,-1,3.07007
165617,75682819,G,22.6067,5.026680000000001,-0.31552800000000003,22.0383,5.036580000000001,2.18201,-0.0626883,1,G,17.8797,2.79872,2.05671,17.5388,3.4731699999999996,2.32216,0.6337510000000001,-1,2.9217299999999997
165617,75891163,G,11.6778,10.7636,2.25561,-3.9266099999999997,10.9974,-0.349867,0.20656999999999998,1,G,11.1458,9.00646,3.46981,-5.5732099999999996,9.65173,-0.549376,0.367733,-1,2.6522799999999997
165617,74949022,G,22.4059,1.37594,7.20958,-21.1694,7.3397,-1.78119,1.38222,-1,T,4.78127,-0.56626,0.725542,-4.69067,0.9203600000000001,-2.3312,2.23351,1,2.60375
165617,74875638,G,23.0765,4.47335,7.9045,21.2138,9.082510000000001,1.58441,1.0558100000000001,-1,T,25.5421,1.98912,7.72653,24.2637,7.97847,1.83138,1.31883,1,3.07757
165617,76187234,G,9.7908,-1.62467,2.06093,9.43195,2.6243,1.99125,2.23837,1,G,11.708,1.32151,1.7091900000000002,11.5064,2.1604900000000002,2.3744099999999997,0.912626,-1,3.0783400000000003
165617,76650121,G,14.5875,-6.16731,12.5515,-4.1481900000000005,13.9849,-0.292434,2.02751,1,G,10.6562,-3.30946,8.62706,-5.30706,9.24006,-0.546709,1.9371,-1,3.08241
165617,76624220,G,8.81973,-0.0262702,2.5635,-8.438260000000001,2.5636400000000004,-1.90681,1.58104,-1,T,7.490480000000001,-1.27134,-0.627641,-7.354310000000001,1.41782,-2.34848,-2.68301,1,3.34459
165617,76796604,G,13.5186,5.42989,7.9615,-9.48005,9.63687,-0.86982,0.972241,1,G,12.9792,7.07465,5.31888,-9.49254,8.85106,-0.9317040000000001,0.644667,-1,3.07288
165617,76691627,G,4.886,-4.20659,-2.03828,1.41839,4.6744,0.29896500000000004,-2.6903900000000003,1,T,5.26779,-2.2166,-2.7244,3.92464,3.5122199999999997,0.962017,-2.25378,-1,3.25745
165617,77028337,G,18.8749,4.74788,18.2027,1.53885,18.8118,0.0817115,1.31565,1,G,9.79345,0.45605,9.67412,1.45052,9.68486,0.14921800000000002,1.52369,-1,2.95588
165617,77061433,G,23.4741,19.8385,-12.2262,-2.82452,23.3033,-0.12091199999999999,-0.552309,1,G,22.4032,17.1602,-13.9707,-3.4986800000000002,22.1281,-0.157459,-0.683298,-1,3.09333
165617,76456028,G,9.54445,-0.356738,8.59924,4.12447,8.606630000000001,0.462549,1.61226,-1,G,8.55543,1.11142,8.28582,1.81496,8.36003,0.215429,1.43746,1,2.57954
165617,77284054,G,17.4321,4.465,2.52885,16.6594,5.13141,1.89366,0.5153260000000001,1,G,7.263669999999999,3.42745,2.03038,6.0728800000000005,3.9837,1.20824,0.534803,-1,3.1697
165617,77411254,G,24.318,-14.7649,-13.2682,14.0465,19.8507,0.6588890000000001,-2.4095400000000002,1,G,11.9776,-5.63516,-7.88985,7.03189,9.69561,0.673242,-2.19101,-1,3.0405
165617,76225718,G,136.691,-8.05028,29.9944,-133.116,31.055999999999997,-2.1619099999999998,1.8330099999999998,1,G,13.8132,-1.64543,2.48685,-13.487,2.98192,-2.21431,2.15532,-1,3.1505
165617,76954616,G,14.5144,-4.9387300000000005,-3.0733900000000003,-13.2974,5.81694,-1.56467,-2.58493,-1,T,32.6892,-10.3778,-11.0843,-28.9485,15.1842,-1.40101,-2.32328,1,2.90445
165617,76738354,G,21.245,10.1373,-0.224077,-18.6687,10.1398,-1.37025,-0.022100599999999998,-1,T,15.5935,8.277280000000001,1.90652,-13.0767,8.494010000000001,-1.21648,0.226383,1,2.71599
165617,76038898,G,21.0068,-4.29281,-16.2116,12.6504,16.7703,0.696609,-1.82965,1,G,12.7192,-4.84541,-9.59448,6.79971,10.7486,0.59659,-2.03845,-1,3.11165
165617,76217193,G,22.4662,12.7393,-14.3058,-11.7378,19.1558,-0.579729,-0.8432540000000001,1,G,8.12952,4.99308,-5.859430000000001,-2.61038,7.6983,-0.332903,-0.865058,-1,3.02609
165617,78863954,G,3.6265199999999997,-0.39142,-3.60249,0.0966073,3.6236900000000003,0.026656799999999998,-1.6790200000000002,1,G,4.16564,-3.1499,-2.50102,1.07911,4.02205,0.265179,-2.47052,-1,3.08897
165617,78773687,G,13.5874,-13.4793,0.8182229999999999,1.49817,13.5041,0.11071600000000001,3.0809599999999997,-1,G,20.6842,-20.649,-0.832304,-0.867809,20.6657,-0.041980300000000005,-3.10131,1,3.06687
165617,77635005,G,30.18,15.4842,-7.8448,24.6884,17.358,1.15088,-0.46893900000000005,1,G,50.6146,28.0678,-15.6253,39.1136,32.124,1.02718,-0.507971,-1,3.07249
165617,78161357,G,17.8431,5.77361,6.81394,-15.4467,8.93109,-1.3157,0.867858,1,G,24.8578,10.56,11.1954,-19.5204,15.39,-1.05903,0.814595,-1,3.0888400000000003
165617,78810621,G,16.5046,-8.51411,4.47395,-13.4121,9.61802,-1.13477,2.65777,-1,G,10.3877,-6.736110000000001,4.01031,-6.8144100000000005,7.8395,-0.785828,2.6046,1,3.0878
165617,78280232,G,11.9457,-3.5598099999999997,2.32661,-11.1625,4.25269,-1.69262,2.56271,1,G,9.31194,-4.7022,0.0435126,-8.0367,4.7024,-1.30541,3.13234,-1,3.0653900000000003
165617,79026256,G,19.2115,-14.2302,-2.8768,12.5816,14.5181,0.783844,-2.94212,-1,G,18.456,-13.306,0.142038,12.7884,13.3067,0.853562,3.13092,1,3.07965
165617,78077802,G,21.4238,-7.7881800000000005,14.9102,13.2665,16.8217,0.723785,2.0521599999999998,-1,G,36.1899,-16.5106,23.697,21.8072,28.8816,0.697184,2.1793299999999998,1,2.87032
165617,77927355,G,12.6051,6.2438400000000005,-7.46455,-8.010689999999999,9.73165,-0.75065,-0.8742120000000001,-1,G,12.8273,5.62435,-9.79243,-6.08305,11.2927,-0.51553,-1.04945,1,3.08445
165617,78898587,G,19.3691,6.10675,-15.6863,9.58125,16.8331,0.5422279999999999,-1.19954,1,G,15.4692,7.407139999999999,-11.6831,6.9226600000000005,13.8333,0.481599,-1.00575,-1,3.1015099999999998
165617,78623072,G,15.6832,-6.151590000000001,-14.4252,-0.14639100000000002,15.6821,-0.00933477,-1.9738900000000001,1,G,8.49293,-2.33339,-7.92668,1.9600099999999998,8.26299,0.23503400000000002,-1.8570799999999998,-1,3.09705
165617,79017551,G,19.178,8.57992,-4.4718,-16.5582,9.67533,-1.3065799999999999,-0.480459,1,G,30.3467,10.558,-7.97796,-27.3091,13.2333,-1.47175,-0.647094,-1,2.6636900000000003
165617,79772138,G,34.3262,10.0291,-3.87894,32.5983,10.7531,1.82837,-0.36905,1,G,46.9454,15.7303,-2.34872,44.169,15.9047,1.7455,-0.14821700000000002,-1,3.08665
165617,80554472,G,43.8904,-16.6324,-8.41315,39.7359,18.6392,1.50109,-2.67329,1,G,43.415,-15.1201,-11.0778,39.1601,18.744,1.4828299999999999,-2.50929,-1,3.0883
165617,79103793,G,7.24827,-3.7324699999999997,2.6242900000000002,5.63099,4.5627,1.03764,2.5287900000000003,1,G,5.949,-4.17779,3.4774199999999995,2.4151599999999998,5.4356599999999995,0.43086199999999997,2.4474299999999998,-1,3.1023
165617,79826353,G,20.7608,-3.3697199999999996,-8.8628,18.4688,9.48178,1.42005,-1.93413,1,G,49.1662,-4.61575,-19.205,45.0241,19.7518,1.56207,-1.80666,-1,2.62213
165617,79984069,G,9.48402,1.5682200000000002,-1.57699,9.218960000000001,2.22401,2.12934,-0.788187,1,G,7.08096,3.5714900000000003,-0.308744,6.105569999999999,3.58481,1.30243,-0.0862325,-1,3.09592
165617,79452498,G,7.6252,6.11499,-3.97836,-2.21633,7.29523,-0.29931599999999997,-0.576792,1,G,9.76012,6.1041099999999995,-4.8251,-5.89126,7.7808600000000006,-0.698856,-0.668902,-1,3.11593
165617,79290904,G,17.2274,-7.730989999999999,5.74691,-14.2821,9.63303,-1.18508,2.50235,1,G,21.3283,-6.6101600000000005,8.85543,-18.2421,11.0505,-1.2756,2.21202,-1,3.13497
165617,79132915,G,13.4053,5.22624,5.45514,-11.0733,7.55462,-1.17563,0.806825,1,G,11.7902,4.88468,7.06375,-8.07724,8.58816,-0.838675,0.9657889999999999,-1,3.01945
165617,79276971,G,35.3831,-7.709210000000001,-14.0003,-31.5676,15.9825,-1.43246,-2.0741400000000003,-1,G,18.4844,-3.54471,-9.05481,-15.7197,9.72392,-1.25775,-1.94393,1,2.7269799999999997
