Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,74969122,G,59.9226,-46.1516,29.4115,-24.406999999999996,54.7266,-0.432382,2.57421,1,G,52.4465,30.1097,-16.3989,-39.6876,34.2859,-0.988511,-0.498717,-1,89.9557
165617,75138253,G,97.1011,-23.6144,6.666,-93.9497,24.5372,-2.05235,2.86647,-1,G,30.5992,-11.6134,-25.9848,11.2347,28.4619,0.385137,-1.9910900000000002,1,88.6081
165617,75887636,G,152.972,7.46565,-30.7098,-149.671,31.6042,-2.25926,-1.3323200000000002,-1,G,33.5835,-9.28778,28.7457,-14.6719,30.2089,-0.468368,1.8833099999999998,1,88.2438
165617,75833588,G,181.877,44.1427,-14.9498,175.804,46.6055,2.03792,-0.326545,1,G,170.021,-34.6301,12.3248,166.0,36.7579,2.2128200000000002,2.79967,-1,83.0943
165617,75779415,G,50.244,37.8072,-12.2044,-30.759,39.7283,-0.712422,-0.312246,1,G,49.2396,-47.6064,8.23376,-9.50613,48.3132,-0.19551300000000002,2.97033,-1,90.3544
165617,75098104,G,41.8051,-41.0848,-4.15625,-6.5130300000000005,41.2945,-0.157075,-3.04077,1,G,51.3393,43.4776,-1.8589,27.2389,43.5174,0.590934,-0.0427293,-1,90.5782
165617,77255513,G,41.2853,-24.8545,-29.8605,13.9667,38.8509,0.352171,-2.26496,-1,G,41.2616,24.2118,31.6829,10.6063,39.875,0.262947,0.918273,1,78.7808
165617,76042048,G,65.8067,42.8333,-10.558,-48.8298,44.1153,-0.954959,-0.24167199999999997,-1,G,90.12899999999999,-46.8052,14.5669,-75.6327,49.0196,-1.21833,2.83987,1,93.7719
165617,77076988,G,53.2607,-5.51195,37.5565,-37.3607,37.9588,-0.870188,1.71652,1,G,42.7894,-11.0989,-36.2872,19.7732,37.9466,0.499985,-1.86762,-1,92.945
165617,77459740,G,94.7912,-15.0862,49.4345,-79.4607,51.6852,-1.21533,1.8669900000000001,-1,G,64.6784,24.7125,-33.5554,-49.4632,41.6734,-1.00758,-0.93601,1,92.00200000000001
165617,76405662,G,51.9214,-2.50711,-42.0474,-30.357,42.1221,-0.669535,-1.63035,-1,G,69.9022,9.918330000000001,44.394,-53.0764,45.4884,-0.994552,1.35099,1,88.4274
165617,76583723,G,45.6237,-1.78013,-35.2581,28.9,35.303000000000004,0.7471479999999999,-1.62124,1,G,41.1406,7.15528,32.1415,-24.663,32.9283,-0.692339,1.35175,-1,86.4378
165617,76179155,G,162.53799999999998,23.2432,-39.1325,-156.036,45.5148,-1.94582,-1.03483,1,G,121.412,-20.4155,36.9534,-113.835,42.2178,-1.7177900000000002,2.07553,-1,88.2308
165617,75954345,G,45.1733,11.7891,-31.2908,30.373,33.438,0.815052,-1.21049,-1,G,45.6702,-13.0934,36.9828,-23.3794,39.2322,-0.565326,1.9110599999999998,1,90.3855
165617,77629816,G,179.058,9.652510000000001,-42.7531,173.611,43.8292,2.08523,-1.34875,-1,G,25.2964,-11.1414,21.043000000000003,8.54154,23.8105,0.351451,2.05773,1,90.0424
165617,78897689,G,48.4662,-30.2956,-26.9427,26.5561,40.543,0.615421,-2.41471,1,G,61.148999999999994,55.2413,7.51048,25.1233,55.7496,0.43663900000000005,0.135129,-1,91.3501
165617,78700766,G,76.5641,32.5534,-21.4829,-65.8848,39.0031,-1.29534,-0.583322,-1,G,44.5368,-39.835,-19.9148,-0.295995,44.5357,-0.0066462000000000005,-2.678,1,92.29700000000001
165617,78348203,G,47.4651,-11.7272,23.3448,-39.6285,26.1248,-1.2041,2.03632,1,G,49.8782,37.7018,-20.7823,25.1893,43.0503,0.556018,-0.503786,-1,92.6606
165617,78814907,G,52.3586,4.18259,26.1486,-45.1682,26.480999999999998,-1.3037,1.41219,-1,G,40.9463,-3.09823,-24.7592,32.4649,24.9523,1.07911,-1.69528,1,92.4192
